广西玉林市酒店电信,#genre#
佳嘉卡通,http://171.108.239.8:8181/tsfile/live/1025_1.m3u8
哈哈炫动,http://171.108.239.8:8181/tsfile/live/1009_1.m3u8
动漫秀场,http://171.108.239.8:8181/tsfile/live/1026_1.m3u8
卡酷动漫,http://171.108.239.8:8181/tsfile/live/1023_1.m3u8
优漫 卡通,http://171.108.239.8:8181/tsfile/live/1039_1.m3u8
少儿动画,http://171.108.239.8:8181/tsfile/live/1030_1.m3u8
全纪实,http://171.108.239.8:8181/tsfile/live/1022_1.m3u8
云南卫视,http://171.108.239.8:8181/tsfile/live/0119_1.m3u8
内蒙古卫视,http://171.108.239.8:8181/tsfile/live/0109_1.m3u8
宁夏卫视,http://171.108.239.8:8181/tsfile/live/0112_1.m3u8
新疆卫视,http://171.108.239.8:8181/tsfile/live/0110_1.m3u8
海南卫视,http://171.108.239.8:8181/tsfile/live/0114_1.m3u8
贵港新闻,http://171.108.239.8:8181/tsfile/live/1013_1.m3u8
平南综合,http://171.108.239.8:8181/tsfile/live/1014_1.m3u8
编码6,http://171.108.239.8:8181/tsfile/live/1015_1.m3u8
TV星河(2）,http://171.108.239.8:8181/tsfile/live/1011_1.m3u8
中国新闻,http://171.108.239.8:8181/tsfile/live/1017_1.m3u8
中国纪实,http://171.108.239.8:8181/tsfile/live/1038_1.m3u8
TV星河,http://171.108.239.8:8181/tsfile/live/1012_1.m3u8
安多卫视,http://171.108.239.8:8181/tsfile/live/1029_1.m3u8
农林卫视,http://171.108.239.8:8181/tsfile/live/1040_1.m3u8
四川康巴卫视,http://171.108.239.8:8181/tsfile/live/1041_1.m3u8
IPTV5+体育,http://171.108.239.8:8181/tsfile/live/1031_1.m3u8

梧州组播,#genre#
广西卫视,http://202.103.213.178:8888/udp/239.81.0.107:4056
广西综艺,http://202.103.213.178:8888/udp/239.81.0.214:4056
广西影视,http://202.103.213.178:8888/udp/239.81.0.250:4056
广西新闻,http://202.103.213.178:8888/udp/239.81.0.248:4056
